ID,Gender,Age,Customer Status,Customer Service,Satisfaction,Business Area
1,Male,23,Active,The app crashed multiple times,0,App Usability
2,Other,67,Active,Pricing was transparent and fair,0,Pricing
3,Male,60,Inactive,I had to wait too long for dropoff,0,Dropoff Process
4,Female,31,Active,Dropoff was fast and efficient,0,Dropoff Process
5,Female,50,Active,Had trouble locating the rental office,1,Pickup Process
6,Male,39,Active,App interface is user-friendly,0,App Usability
7,Female,61,Inactive,Support resolved my issue quickly,0,Customer Support
8,Male,69,Inactive,Pricing was transparent and fair,0,Pricing
9,Female,51,Inactive,Confusing dropoff instructions,0,Dropoff Process
10,Female,27,Inactive,Booking was seamless through the app,0,App Usability
11,Other,56,Inactive,Pickup was quick and easy,1,Pickup Process
12,Female,62,Active,Support resolved my issue quickly,0,Customer Support
13,Male,48,Active,No one responded to my issue,1,Customer Support
14,Male,52,Inactive,"Smooth ride, no problems at all",0,Vehicle Quality
15,Female,44,Inactive,Confusing dropoff instructions,0,Dropoff Process
16,Other,62,Active,Customer support was very helpful,0,Customer Support
17,Male,62,Inactive,Had a bad experience with the helpline,0,Customer Support
18,Female,25,Inactive,Pricing was transparent and fair,1,Pricing
19,Other,70,Active,Pricing was transparent and fair,0,Pricing
20,Female,48,Inactive,Pickup was quick and easy,0,Pickup Process
21,Female,68,Inactive,I had to wait too long for dropoff,0,Dropoff Process
22,Female,62,Inactive,Had trouble locating the rental office,1,Pickup Process
23,Other,55,Active,Booking was seamless through the app,1,App Usability
24,Male,40,Active,No one responded to my issue,1,Customer Support
25,Female,19,Active,"Smooth ride, no problems at all",1,Vehicle Quality
26,Male,45,Inactive,The car was clean and in good condition,1,Vehicle Quality
27,Female,52,Active,The app crashed multiple times,0,App Usability
28,Male,29,Active,The vehicle had mechanical issues,0,Vehicle Quality
29,Male,41,Inactive,Dropoff location was very convenient,0,Dropoff Process
30,Female,28,Active,Customer support was very helpful,0,Customer Support
31,Other,59,Inactive,App interface is user-friendly,0,App Usability
32,Female,21,Active,The rental price was too high,0,Pricing
33,Other,31,Active,Had trouble locating the rental office,0,Pickup Process
34,Female,39,Inactive,The app crashed multiple times,0,App Usability
35,Male,44,Active,No one responded to my issue,0,Customer Support
36,Other,67,Active,Had a bad experience with the helpline,0,Customer Support
37,Male,30,Inactive,I had to wait too long for dropoff,1,Dropoff Process
38,Female,44,Inactive,Pricing was transparent and fair,1,Pricing
39,Other,18,Inactive,No one responded to my issue,0,Customer Support
40,Male,41,Inactive,Staff at pickup were helpful,0,Pickup Process
41,Male,24,Active,App interface is user-friendly,0,App Usability
42,Other,55,Active,Customer support was very helpful,0,Customer Support
43,Male,57,Inactive,Unexpected fees were added to my bill,1,Pricing
44,Other,39,Active,Confusing dropoff instructions,1,Dropoff Process
45,Other,53,Inactive,Long wait time during pickup,1,Pickup Process
46,Other,20,Active,I had to wait too long for dropoff,0,Dropoff Process
47,Other,64,Active,Confusing dropoff instructions,0,Dropoff Process
48,Other,47,Active,Dropoff was fast and efficient,0,Dropoff Process
49,Female,57,Active,Long wait time during pickup,0,Pickup Process
50,Male,52,Active,Dropoff was fast and efficient,0,Dropoff Process
51,Other,54,Inactive,I received an old model with scratches,1,Vehicle Quality
52,Male,23,Active,Long wait time during pickup,0,Pickup Process
53,Male,68,Active,"Smooth ride, no problems at all",0,Vehicle Quality
54,Female,43,Inactive,I received an old model with scratches,0,Vehicle Quality
55,Male,29,Active,Pricing was transparent and fair,1,Pricing
56,Male,68,Active,Dropoff location was very convenient,1,Dropoff Process
57,Male,44,Inactive,"Smooth ride, no problems at all",1,Vehicle Quality
58,Male,24,Active,The vehicle had mechanical issues,0,Vehicle Quality
59,Male,18,Inactive,I had to wait too long for dropoff,0,Dropoff Process
60,Female,38,Inactive,"I got a great deal, very affordable",0,Pricing
61,Female,55,Active,Had a bad experience with the helpline,0,Customer Support
62,Other,59,Active,Had a bad experience with the helpline,1,Customer Support
63,Other,27,Active,Dropoff was fast and efficient,1,Dropoff Process
64,Male,52,Inactive,I received an old model with scratches,1,Vehicle Quality
65,Female,36,Active,Confusing dropoff instructions,1,Dropoff Process
66,Female,41,Inactive,The rental price was too high,1,Pricing
67,Other,52,Inactive,The app crashed multiple times,0,App Usability
68,Male,30,Active,Unexpected fees were added to my bill,1,Pricing
69,Female,25,Active,Support resolved my issue quickly,0,Customer Support
70,Male,68,Inactive,Staff at pickup were helpful,0,Pickup Process
71,Other,28,Inactive,The rental price was too high,0,Pricing
72,Female,62,Active,The car was clean and in good condition,0,Vehicle Quality
73,Female,39,Active,The vehicle had mechanical issues,1,Vehicle Quality
74,Male,69,Inactive,Had a bad experience with the helpline,0,Customer Support
75,Female,57,Active,The vehicle had mechanical issues,0,Vehicle Quality
76,Other,45,Active,Long wait time during pickup,1,Pickup Process
77,Other,36,Active,Dropoff was fast and efficient,1,Dropoff Process
78,Other,26,Inactive,The vehicle had mechanical issues,1,Vehicle Quality
79,Other,41,Inactive,The rental price was too high,0,Pricing
80,Other,62,Active,Dropoff location was very convenient,1,Dropoff Process
81,Female,58,Inactive,I had to wait too long for dropoff,1,Dropoff Process
82,Other,55,Inactive,I received an old model with scratches,1,Vehicle Quality
83,Male,55,Active,Pickup was quick and easy,1,Pickup Process
84,Male,29,Inactive,No one responded to my issue,1,Customer Support
